"Model","R_squared","Adj_R_squared","AIC","BIC","RMSE","F_statistic","p_value"
"y ~ x",0.568941243095017,0.566764178666204,1644.76169063085,1654.65664273049,14.5554529029714,261.33413213003,4.93180681075475e-38
"z ~ x",0.00640465023269191,0.00138649190053386,1785.99165756104,1795.88660966068,20.7187815611402,1.27629496894282,0.259955815136014
"z ~ y",0.00269867372937276,-0.00233820165583243,1786.7362428182,1796.63119491785,20.757384727421,0.535783302739546,0.465051029885007
"z ~ x + y",0.00656895317933689,-0.00351664120462925,1787.95858241975,1801.15185188595,20.7170684403997,0.651320381253889,0.522475892449746
"y ~ x + grupo",0.575205511852849,0.568703555401617,1645.8339080177,1662.32549485044,14.4493038487321,88.4665279085138,3.11011410001193e-36
"z ~ x + y + grupo",0.0333884645677314,0.0135605356357875,1786.48499003828,1806.27489423757,20.4355073026133,1.6839108452694,0.155240595241159
"z ~ x * y",0.0065772065312279,-0.00862824438921272,1789.9569208276,1806.44850766034,20.7169823822824,0.43255583577507,0.729921294061766
"y ~ x * grupo",0.583969790095026,0.573247362004691,1645.66438460098,1668.75260616682,14.2994693516023,54.4624580528955,3.75218069293894e-35
